,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
411602,General Supplies,Basic Educational Services,,,,Drama/Theater Arts,School ,,Instruction,,,2500.22,,,General Fund,
123685,Maint: Bldg & Grounds,Career and Technology,,,,Agriculture,School ,,Plant Maintenance & Operations,,,4702.49,,,General Fund,
209374,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,"Guidance, Counseling and Evaluation Services",,,1222.23,,,Title I- Part A,
412352,General Supplies,Basic Educational Services,,,,School Nurse,School ,,Instruction,,,400.59,,,General Fund,
183577,Employee Allowance,Accelerated Education,,CELL PHONE,,Mobile Phone,Learning Support Services,,Social Work Services,,,394.000642393,,,General Fund,
160374,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY ,"Teacher, Secondary (High) ",,,HUMANITIES,,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,,223.49552000000003,HUMANITIES,n/a,,INSTRUCTIONAL STAFF
1808,DUES AND FEES,STAFF DEVELOPMENT,STAFF DEVELOPMENT,,,,,,IMPROVEMENT OF INSTR SERV,,,496.59,,,General Fund,
369397,Salaries And Wages For Substitute Professionals,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School ,,Instruction,NON DEGREED SUBSTITUTE,Basic Educational Services - District Objective ,87.00398706879999,,,General Operating Fund,REGULAR PAY
41499,Professional Salaries,Special Education,,BIL BEHAV SPEC,,General,Special Education,1.0,Curriculum & Instructional Staff Development,,,62733.5876257,,,IDEA-B Formula,
155234,General Supplies,Basic Educational Services,,,,Family Consumer Science,School ,,Instruction,,,1922.47,,,General Fund,
176991,Employee Allowances,"""Title I, Part A Schoolwide Activities Related To State Comp",State Ed. Allotment,"COUNSELOR, DRUG INTERVENTION",All Campus Payroll,Travel Allowances,School ,,"""Guidance, Counseling And Evaluation Services""",INTERVENTION SPECIALIST,,56.1594985837,,,General Operating Fund,TRAVEL
237735,Equipment Maintenance Repairs,Undistributed,,,,General,School ,,Food Services,,,1286.18,,,Nat'l Schl Breakfast & Lunch Prog.,
303084,NON-CAPITALIZED IMP NOT BLDGS ,,,,,,School ,,FACILITIES ACQ AND CONST      ,,,1272.0800000000004,,,MILLAGE                  ,SITE IMPROVEMENT-Host Bgt     
372602,Professional Salaries,Accelerated Education,,LANG ARTS SP,,Solution Team,Assoc Superintendent-High Schools,1.0,Curriculum & Instructional Staff Development,,,75320.8322257,,,Title I- Part A,
263125,Professional Salaries,Basic Educational Services,,T-EL ART,,General,School ,1.0,Instruction,,,52514.63619890001,,,General Fund,
142699,Professional Salaries,Bilingual Education,,T-MS 7/8 ESL MA,,Bilingual & Spec Lang,School ,1.0,Instruction,,,76053.3747882,,,General Fund,
241960,Regular *,,Regular Instruction,"TCHR, SCNDY SOCIAL STUDIES",,Certificated Employees Salaries And Wages,IN OTH CERTIFICATED PERSON,1.0,High School,,,103317.888037,TEACHER,,General,SCHOOL BASED MANAGEMENT
86293,Salaries for Support Personnel,Undistributed,,CARPENTER,,General,Service Center Bldg & Grounds,1.0,Plant Maintenance & Operations,,,51239.51800119999,,,General Fund,
118681,Professional Salaries,Undistributed,,DIR- PURCH/MAT',,General,Purchasing,1.0,General Administration,,,112922.555592,,,General Fund,
61625,SUPPLIES,Misc,MISCELLANEOUS,,,,,,MAINTENANCE AND OPERATING,,,2065.42,,,General Fund,
260175,WORKSHOP PARTICIPANT          ,,,BUS DRIVER                    ,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,13.816,,,GENERAL FUND                  ,
155731,,PUPIL TRANSPORTATION,,Bus Driver,,,Transportation,1.0,,BUS DRIVER,,42126.08,,,General Fund,
156597,Professional Salaries,Prekindergarten,,T-EL PK ESL,,Pre-K,School ,1.0,Instruction,,,63226.23809369999,,,General Fund,
387731,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Bus Driver  to  Yrs ,,,,,NON-PROJECT,UNDESIGNATED,,-27.37,,n/a,,EMPLOYEE BENEFITS
113544,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,School ,,School Leadership,,,523.0508565230001,,,General Fund,
2108,Salaries And Wages For Teachers And Other Professi,Services To Students With Disabilities (Special Education),Operations,"TEACHER, SPECIAL EDUCATION",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,0.94,Instruction,TEACHER BACHELOR,,48067.2809723,,,General Operating Fund,REGULAR PAY
305752,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,0.5,Student Transportation,,,15584.081790299999,,,General Fund,
338625,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1.0,Instruction,,,62978.45901119999,,,General Fund,
144152,ADDITIONAL/EXTRA DUTY PAY/STIP,SOCIAL WORK SERVICES,STATE AND LOCAL GDPG FUND,SFPC Liaison Specialist ,,,ADMISSIONS AND STUDENT RECORDS,,EXPELLED AT RISK,PROFESSIONAL-INSTRUCTIONAL,,141.76431999999997,PREVENTION AND INTERVENTION,n/a,,STUDENTS
373183,Personal Services - Teachers,Instruction - SPED,,,,,,1.0,,TEACHER - S.E  DAYS,Special Education Instruction,11029.9099,,,General Purpose School,
401303,Employee Travel  (including In-District and Out-of-District),Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,299.77,,, Century Community Learning,
305314,Professional Salaries,Undistributed,,HS ASST PRIN,,General,School ,1.0,School Leadership,,,80800.12530469999,,,General Fund,
126956,Professional Salaries,Special Education,,BEHAVIOR SPEC,,General,Special Education,1.0,Curriculum & Instructional Staff Development,,,59032.84335569999,,,IDEA-B Formula,
198284,Employee Allowance,Special Education,,TRAVEL,,General,Special Education,,Curriculum & Instructional Staff Development,,,1035.62269163,,,General Fund,
219669,SUPPLIES,SPECIAL EDUCATION CATEGORY III,CATEGORY III EXP ONLY SPECIAL ED,,,,,,INSTRUCTION,,,77.13,,,General Fund,
313256,Salary Adjustments,Special Education,,,,General,Special Education,,Instruction,,,334314.42,,,IDEA-B Preschool,
174977,NONCAPITALIZED  REMOD/RENOV   ,,,,,,TRANSPORTATION                ,,FACILITIES ACQ AND CONST      ,,,111.83,,,MILLAGE                  ,MINOR RENOVATIONS-Host Bgt    
19728,Salaries for Support Personnel,Prekindergarten,,CLERK IV- SCH,,General,Prekindergarten Demonstration School,1.0,School Leadership,,,29834.485241600003,,,General Fund,
409983,Miscellaneous Contracted Srvcs,Undistributed,,,,Laundry,School ,,Food Services,,,419.89,,,Nat'l Schl Breakfast & Lunch Prog.,
444847,SALARIES OF REGULAR EMPLOYEES,LITERACY COACHES,LEVY OVERRIDE,"Facilitator,Sec Humanities ",,,,0.754744088546,FACILITATOR,PROFESSIONAL-INSTRUCTIONAL,,51468.4574647,,Regular,,INSTRUCTIONAL STAFF
248053,EMPLOYEE BENEFITS,SPECIAL EDUCATION-EI'S,GENERAL FUND,Tutor Interpreter ,,,,,SPECIAL ED. - SEVERE NEEDS,OFFICE/ADMINISTRATIVE SUPPORT,,820.65,SEVERE DISABILITIES,Regular,,SPECIAL EDUCATION
258444,Electronic Media,,Support Services--Pupils,,,"Newspapers, Periodicals, Films And Filmstrips *",,,Speech Pathology Services,,,-0.76,,,General,SPEECH CORRECTION
315619,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,T-EL BIL RD,,General,School ,1.0,Instruction,,,67390.5837957,,,Title I- Part A,
268688,Salaries And Wages For Teachers And Other Professi,Bilingual Education And Special Language Programs,Operations,"TEACHER, BILINGUAL EDUCATION",All Campus Payroll,Critical Needs Incentive,School ,,Instruction,TEACHER BACHELOR,,4170.47072003,,,General Operating Fund,CRITICAL NEEDS SUPPLEMENT
169952,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,707.587156307,,,General Fund,
388775,SUPPLIES,VOCATIONAL LABORATORY PROGRAM 9-12,VOCATIONAL LABORATORY PROGRAM 9-12,,,,,,INSTRUCTION,,,278.1,,,General Fund,
436757,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,ARRA - STIMULUS,"Teacher, Elementary ",,,,,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,,4593.33,,Regular,,REGULAR INSTRUCTION
434023,Reproduction Services,Undistributed,,,,General,Visual Arts,,Instructional Leadership,,,1492.32,,,General Fund,
220102,Personal Services - Employees Salaries and Wages,,Support Services - Instructional Staff,,,Personal Services - Employees Salaries And Wages,,,Instructional Staff Training Services *,,,194436.43,,,Title I - Disadvantaged Children/Targeted Assistance,PD-DI
207305,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,35231.844028199994,,,General Fund,
30100,Salaries And Wages For Teachers And Other Professi,Athletics And Related Activities,Operations,"TEACHER, REGULAR",All Campus Payroll,Extra Duty Wages,School ,,Extracurricular Activities,TEACHER BACHELOR,,4806.92282499,,,General Operating Fund,EX-CURR ATHLETIC
199127,Salaries for Support Personnel,Special Education,,ACCTG TECH II,,General,Center,1.0,School Leadership,,,44452.43231880001,,,General Fund,
98933,Professional Salaries,Undistributed,,COUNS- HS,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,60434.7498033,,,General Fund,
320715,Professional Salaries,Bilingual Education,,T-EL 3RD ESL,,General,School ,1.0,Instruction,,,52853.283666400006,,,General Fund,
304410,,,LOCAL,SPEECH PATHOLOGIST,,,RELATED SERVICES,1.0,,,,120222.665957,SPECIAL EDUCATION INSTRUCTION,,,
123833,Professional Salaries,State Comp.Ed.-Support Title I Campuses,, MATH,,General,School ,1.0,Instruction,,,55200.6191857,,,Title I- Part A,
283779,EMPLOYEE BENEFITS,NURSING SERVICES,GENERAL FUND,Nurse ,,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,4749.28,,Regular,,STUDENTS
236448,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,ARRA - STIMULUS,"Teacher, Summer Intern ",,,ALL SCHOOLS-UNDISTRIBUTED,,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,,6.11,,n/a,,REGULAR INSTRUCTION
14997,Subs for Support Personnel,Undistributed,,FOOD PROD SUB,,General,Food Service,,Food Services,,,37.71,,,Nat'l Schl Breakfast & Lunch Prog.,
127819,Salaries for Support Personnel,,,Grounds Equipment Operator,,,Service Center Bldg & Grounds,1.0,,,,34999.6434879,,,General Fund,
377711,Regular *,,Support Services - Instructional Staff,PARA (AUT/MD),,,EN CLASSIFIED SLRY/HRLY/DA,1.0,Classroom Support - Special Education Aides *,,,48557.3966231,PARAPROF,,General,SCHOOL BASED MANAGEMENT
442518,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1.0,Instruction,,,53189.7035743,,,General Fund,
258051,SALARIES FOR OVERTIME,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,"Manager, Food Service II ",,,,,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",,6.1917599999999995,FOOD SERVICES,Regular,,FOOD SERVICES OPERATIONS
19704,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher,Retrd Shrt Term Sub ",,,,,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,,2.22,TEACHER LEARNING & LEADERSHIP,Regular,,INSTRUCTIONAL STAFF
406288,SALARIES OF PART TIME EMPLOYEE,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,128.98498492500002,TEACHER SUBS,Alternative,,REGULAR INSTRUCTION
311868,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Network Support,,Data Processing Services,,,525.280856523,,,General Fund,
37192,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Coordinator, Central Curr ",,,ENGLISH FOR SPEAKERS OF OTHER,,NON-PROJECT,UNDESIGNATED,,-614.93,,n/a,,EMPLOYEE BENEFITS
164463,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,District Buyer I ,,,MATERIALS MANAGEMENT,,NON-PROJECT,UNDESIGNATED,,-965.59,,n/a,,EMPLOYEE BENEFITS
56756,General Supplies,Basic Educational Services,,,,English,School ,,Instruction,,,,,,General Fund,
222333,Personal Services - Teachers,Instruction - Regular,,,,,,0.0,,TIME CARD CERTIFIEDAddl,Alternative Schools Instruction,174.82999999999996,,,General Purpose School,
276833,REPAIR AND MAINTENANCE SERVICES,Misc,MISCELLANEOUS,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,37.51000000000001,,,General Fund,
100866,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,MEDIA CENTERS,MEDIA CENTERS,,,,,,EDUCATIONAL MEDIA SERVICE,,,687.85,,,General Fund,
74764,Extra Duty/Signing Bonus Pay,High School Allotment,,,,General,School ,,Curriculum & Instructional Staff Development,,,60754.69215739999,,,General Fund,
63185,EMPLOYEE BENEFITS,TRANSPORTATION-OPERATIONS,GENERAL FUND,Bus Driver - Relief ,,,,,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",,4541.88,TRANSPORTATION,n/a,,STUDENT TRANSPORTATION
338963,WORKSHOP PARTICIPANT          ,COMMON CORE STATE STANDARDS   ,,"TEACHER, FOURTH               ",USING DATA HUMAN CAPITAL DECIS,,CHIEF ACADEMIC OFFICER        ,,INST STAFF TRAINING SVCS      ,,,518.29,,,ARRA - RACE TO THE TOP        ,RACE TO THE TOP               
73385,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.625,Food Services,,,16344.538687299999,,,Nat'l Schl Breakfast & Lunch Prog.,
69729,Professional Salaries,Basic Educational Services,,T-HS ART,,General,School ,0.33,Instruction,,,18778.6042334,,,General Fund,
445906,Professional Salaries,Basic Educational Services,,T-EL 3RD,,General,School ,1.0,Instruction,,,53190.143574300004,,,General Fund,
10593,Salaries for Support Personnel,Undistributed,,ADMIN ASST III,,General,Human Resources,1.0,General Administration,,,43699.7669301,,,General Fund,
379000,Professional Salaries,Bilingual Education,,T-EL 5TH ESL,,General,School ,1.0,Instruction,,,54112.4375915,,,General Fund,
436491,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1639.2476766399998,,,General Fund,
216799,Professional Salaries,Basic Educational Services,, MATH,,General,School ,1.0,Instruction,,,52514.3361989,,,General Fund,
436874,Employee Allowance,Special Education,,,,Speech Therapist,School ,,Instruction,,,0.31,,,General Fund,
207310,Health & Hygiene Supplies,,Support Services--Pupils,,,General Supplies *,,,Medical Services,,,100.72,,,General,SCHOOL BASED MANAGEMENT
50017,Professional Salaries,Basic Educational Services,, CHOIR,,Choral Music,School ,0.6,Instruction,,,35357.0197277,,,General Fund,
166986,Salaries for Support Personnel,Undistributed,,CHILD CARE WKR,,Child Care Program-After School,School ,0.938,Community Services,,,27914.377407999997,,,Child Care Program,
120516,Salaries for Support Personnel,Undistributed,,PARENT SUP SPEC,,General,School ,0.5,Community Services,,,21652.5271117,,,General Fund,
262421,Salaries for Support Personnel,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,-0.38,,,General Fund,
41924,Extra Duty/Signing Bonus Pay,Bilingual Education,,,,General,School ,,Instruction,,,63786.0933592,,,General Fund,
329563,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,,,EMPLOYEE RETIREMENT,UNDESIGNATED,,1.1,,n/a,,EMPLOYEE BENEFITS
305305,Professional Salaries,Special Education,,T-ML/SE MULT HD,,General,State Hospital,1.0,Instruction,,,64329.31805069999,,,General Fund,
158231,Professional Salaries,Basic Educational Services,,T-EL KIN,,General,,1.0,Instruction,,,52627.1889961,,,General Fund,
380238,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,165.14,,,IDEA-B Formula,
362879,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.75,Food Services,,,20455.5423868,,,Nat'l Schl Breakfast & Lunch Prog.,
78142,Misc Operating Expenses,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,1000.51,,,General Fund,
165618,SUPPLIES,MEDIA CENTERS,MEDIA CENTERS,,,,,,EDUCATIONAL MEDIA SERVICE,,,35.06,,,General Fund,
348556,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,29963.3532973,,,General Fund,
252154,Salaries for Support Personnel,Undistributed,,FOOD PROD SPIII,,General,School ,0.875,Food Services,,,23413.3573862,,,Nat'l Schl Breakfast & Lunch Prog.,
118889,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,District Police,,Security & Monitoring Servicess,,,827.24,,,Campus Police,
240776,,MIDDLE SCHOOL PROGRAM  6-8,,Teacher-Music,,,,1.0,,MS INSTRUMENTAL MUSIC ,,74278.61,,,General Fund,
375834,Extra Duty/Signing Bonus Pay,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,4051.20003509,,,General Fund,
196371,Professional Services,Career and Technology,,,,Agriculture,School ,,Instruction,,,11142.14,,,General Fund,
331855,General Supplies,Basic Educational Services,,,,Band,School ,,Instruction,,,3475.12,,,General Fund,
88286,PURCHASED FOOD,Misc,SCHOOL NUTRITION SERVICE,,,,,,SCHOOL NUTRITION,,,2264.36,,,School Nutrition Service Fund,
230095,Salaries for Support Personnel,Undistributed,,HEAD CUST I,,General,School ,1.0,Plant Maintenance & Operations,,,47590.8988035,,,General Fund,
33472,EMPLOYEE BENEFITS,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,3.95,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
219038,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1638.4276766399996,,,General Fund,
189508,Employee Allowance,Special Education,,CELL PHONE,,Mobile Phone,Special Education,,Instructional Leadership,,,524.3408565230001,,,General Fund,
344894,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1.0,Instruction,,,52852.0436664,,,General Fund,
258895,Extra Duty/Signing Bonus Pay,Basic Educational Services,,EXTRA CLASS,,General,School ,,Instruction,,,8253.13367245,,,General Fund,
4163,GASOLINE                      ,,,,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,161405.372,,,GENERAL FUND                  ,TRANSPORTATION                
331546,Other Miscellaneous,,Support Services - Instructional Staff,,,Other Miscellaneous Expenditures *,,,Instructional Staff Training Services *,,,-564.76,,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOL IMPROVEMEN
414566,Classroom Supplies,,Special Instruction,,,General Supplies *,,,Disadvantaged Youth *,,,-12471.03,,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC ALLOCATION
344247,SALARIES OF PART TIME EMPLOYEE,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher, Super Sub Rtd D/D ",,,,0.0172413793103,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,724.1897307999999,TEACHER SUBS,Turnaround,,REGULAR INSTRUCTION
293044,Professional Salaries,Special Education,,T-EL/SE LIFE SK,,General,School ,1.0,Instruction,,,52964.648904,,,General Fund,
401767,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,School ,,School Leadership,,,524.4608565230001,,,General Fund,
213322,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",Instruction And Curriculum,Extended Day,School ,,Instruction,TEACHER BACHELOR,,52.28160154130001,,,"""Title  Part A Improving Basic Programs""",MISCELLANEOUS 
88180,Professional Salaries,Accelerated Education,,T-EL BIL LIT CO,,Reading Literacy,School ,0.5,Instruction,,,26887.1988418,,,General Fund,
91435,SMALL KITCHEN SUPPLIES,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,671.45,FOOD SERVICES,Regular,,FOOD SERVICES OPERATIONS
383391,BOOKS AND PERIODICALS,GENERAL K-8 EDUCATION, MILL LEVY,(blank),,,,,ALL DAY KINDERGARTEN,UNDESIGNATED,,479.15,,Regular,,REGULAR INSTRUCTION
347019,Professional Salaries,Special Education,,T-HS/SE SCORES,,General,School ,0.5,Instruction,,,26481.504452,,,General Fund,
314112,Regular *,,Support Services - Administration,,,Non-Certificated Salaries And Wages,,,State and Federal Projects Coordination Services*,,,-34112.82,,,Improving Teacher Quality,T IIA TEACHER QUALTY 
281404,MILEAGE REIMBURSEMENT,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,(blank),,,ES TEAM ,,NON-PROJECT,UNDESIGNATED,,3379.25,INSTRUCTIONAL SUPPORT TEAMS,n/a,,INSTRUCTIONAL STAFF
129536,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,MS ASST PRIN,,General,School ,0.33,School Leadership,,,24836.4154756,,,Title I- Part A,
11536,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Hrly ",,,FEDERAL PROG-PRIVATE SCHOOLS,,EMPLOYEE RETIREMENT,UNDESIGNATED,,126.23,,n/a,,EMPLOYEE BENEFITS
235227,Extra Duty/Signing Bonus Pay,Undistributed,,DEPT CHAIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,6043.52887143,,,General Fund,
119853,Supplies and Materials,,Regular Instruction,,,Supplies And Materials,,,Middle/Junior High,,,,,,Special Trust,CHARACTER ED MINI PILOT
390598,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,7.44,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
180891,Electronic Media,,Support Services - Instructional Staff,,,"Newspapers, Periodicals, Films And Filmstrips *",,,School Library Services *,,,320.45,,,General,SCHOOL BASED MANAGEMENT
209680,Professional Salaries,Bilingual Education,,T-EL 4TH ESL,,General,School ,1.0,Instruction,,,53190.7135743,,,General Fund,
306370,Rentals,,Sport Oriented Activities,,,Property Services (Other Than Utilities) *,,,Mixed Sports *,,,-0.07,,,General,EXTRACURRICULAR ACTIVITY
440564,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,Misc,MISCELLANEOUS,,,,ADMIN. SERVICES,,SUPPORT SERVICES-CENTRAL,,,3810.35,,,General Fund,
421769,General Supplies,Athletics and Related,,,,Boys Football,School ,,Cocurricular & Extra Curricular Activities,,,12214.17,,,Athletics,
208866,Instructional Materials,Basic Educational Services,,,Textbook Department,Instructional Materials,School ,,Instruction,,Basic Educational Services - District Objective ,26384.370000000006,,,State Textbook Fund,
134807,Non Food,Undistributed,,,,General,School ,,Food Services,,,4823.67,,,Nat'l Schl Breakfast & Lunch Prog.,
329861,EMPLOYEE BENEFITS,STAFF SERVICES,GENERAL FUND,"Teacher, Elementary ",,,PERSONNEL-PAID LEAVE,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,,UNASSIGNED PERS/PAID LEAVES,n/a,,CENTRAL
221943,Career Ladder,Special Education,,CL ,,General,State Hospital,,Instruction,,,3277.75535327,,,General Fund,
187293,Extra Duty/Signing Bonus Pay,Undistributed,,,,General,Office of Innovation and Development,,General Administration,,,0.25,,,General Fund,
331464,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.5,Food Services,,,13676.0617178,,,Nat'l Schl Breakfast & Lunch Prog.,
99486,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Community Services,,,1.17,,,General Fund,
251292,NON-CAPITAL EQUIPMENT,GENERAL ELEMENTARY EDUCATION,BOND,(blank),,,,,ED TECH  GOB,UNDESIGNATED,,7803.9,,Regular,,REGULAR INSTRUCTION
231170,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Network Support,,Data Processing Services,,,524.640856523,,,General Fund,
35644,Professional Salaries,Basic Educational Services,, AD SOC SC,,General,School ,1.0,Instruction,,,57577.9338714,,,General Fund,
70585,Professional Salaries,Undistributed,,COUNS- MS,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,69242.1984462,,,General Fund,
188581,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary ",,,,,NON-PROJECT,UNDESIGNATED,,-141.8,,n/a,,EMPLOYEE BENEFITS
10718,Food/Refreshment,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,1498.74,,,General Fund,
21218,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.75,Food Services,,,21536.199616799997,,,Nat'l Schl Breakfast & Lunch Prog.,
3148,Professional Salaries,Bilingual Education,,T-EL 3RD BIL,,General,School ,1.0,Instruction,,,53190.1035743,,,General Fund,
275347,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,6.71,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
33606,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,Secondary Alternative Learning Center,1.0,Instruction,,,33225.423275999994,,,General Fund,
157015,Salaries Or Wages For Support Personnel,PRE-K,State Ed. Allotment,"CLASSROOM AIDE, PRE-K",All Campus Payroll,Salaries Or Wages For Support Personnel,School ,,Instruction,AIDE,,974.4512415789999,,,General Operating Fund,REGULAR PAY
377767,Substitute for Other Professionals,Undistributed,,,,General,School ,,School Leadership,,,3277.76535327,,,General Fund,
310092,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1.0,Instruction,,,52964.258904,,,General Fund,
397517,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",Instruction And Curriculum,Extended Day,School ,,Instruction,TEACHER BACHELOR,,64.41458109770001,,,"""Title  Part A Improving Basic Programs""",EXTENDED DAYS
95799,Extra Duty/Signing Bonus Pay,Prekindergarten,,,,Line Item that is paid with Campus' money,Early Childhood Center,,Instruction,,,3121.30951477,,,General Fund,
364135,SALARIES OF REGULAR EMPLOYEES,INFORMATION SYSTEMS SERVICES,GENERAL FUND,"Specialist II, PC Apps ",,,CUSTOMER RELATIONS MANAGEMENT,1.00000385162,NON-PROJECT,PROFESSIONAL-OTHER,,77190.5441347,ITEMGG-CUSTOMER RELATIONS MGMT,n/a,,CENTRAL
440501,Personal Services - Teachers,Instruction - CTE,,,,,,1.0,,VOC. TEACHER  DAYS,Career & Technical Instruction,11298.5199,,,General Purpose School,
29949,,,LOCAL,"TEACHER,SCIENCE,GENERAL",,,,1.0,,,,116340.073417,GENERAL EDUCATION,,,
209122,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,35258.3775442,,,General Fund,
367739,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,10000.3,,,Title I- Part A,
289630,Extra Duty/Overtime,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,1517.71164702,,,General Fund,
