,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
97650,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,COPYING,LEGAL SERVICES,GENERAL FUND,(blank),n/a,,,SCHOOL ATTORNEY,,NON-PROJECT,,UNDESIGNATED,3691.41,LEGAL SERVICES,,GENERAL ADMINISTRATION
98121,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,109.937938468,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
98488,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0.0,,,CCOACH CERT TCHRACCT,4515.6500000000015,Instruction - Regular,General Purpose School,
98925,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,ADDITIONAL INCOME ALLOWANCE,SCHOOL LEADERSHIP,LOCAL,,,,,,,,,,-0.22,SCHOOL SYSTEM MAGEMENT,LOCAL FUND,
99049,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Principals' Budgets,SECURITY OFFICER,,Undistributed,Extra Duty Pay/Overtime For Support Personnel,School ,,Security And Monitoring Services,,POLICE PATROL MAN,128.21,Undistributed,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
99178,Governance,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,Non PreK,PreK-12 Operating,Miscellaneous Operating Costs,,,,,,Fees (Not Associated With Travel),School Board,,General Administration,School Board,,1774.32,Undistributed,General Operating Fund,
99397,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,Route Scheduler II ,n/a,,,TRANSPORTATION,,NON-PROJECT,,PROFESSIONAL-OTHER,503.84,PUPIL TRANSPORTATION SERVICES,,STUDENT TRANSPORTATION
99832,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,Other,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Bus Driver                              ,,,,Transportation,1.0,,,BUS DRIVER                              ,21927.6158932,PUPIL TRANSPORTATION,General Fund,
100282,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED               ,,,COUNSELOR-MIDDLE              ,,,,School ,0.47,GUIDANCE SERVICES             ,,,30057.1216108,,GENERAL FUND                  ,
100587,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,Miscellaneous Operating Costs,,,,,Basic Educational Services - District Objective ,Software License - Web Access,School ,,Instruction,Finance Department,,567.48,Basic Educational Services,General Operating Fund,
101228,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,SCHOOL NUTRITION SERVICE,,,,,,,SCHOOL NUTRITION,,,1085.73,Misc,School Nutrition Service Fund,
101397,Substitute Compensation,Instruction,School Reported,School,Alternative,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Alternative Schools Instruction,,,0.0,,,SUBSTITUTE TEACHER,70.13,Instruction - Regular,General Purpose School,
102346,Curriculum Development,NO_LABEL,School Reported,School,NO_LABEL,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Department Chair Supp,,,GRADE LEVEL/DEPT CHA,,,,,,,,,1677.32,,,
102517,Curriculum Development,ISPD,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,"TEACHER, SECOND               ",,,,School ,,INST & CURRICULUM DEV SVCS    ,WRITING TEAMS                 ,,338.88,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
102533,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SAFETY AND SECURITY,GENERAL FUND,Campus Security Officer ,Alternative,,,,,NON-PROJECT,,OFFICE/ADMINISTRATIVE SUPPORT,300.71,SCHOOL SECURITY,,OPERATION AND MAINT OF PLANT
102770,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,Psychologist ,Regular,,,,0.167812616045,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,11886.5983124,PSYCHOLOGICAL SERVICES,,STUDENTS
102810,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Bookkeeper II ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-124.17,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
102863,"Finance, Budget, Purchasing & Distribution",Business Services,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,GENERAL LEDGER ACCOUNTING,DISTRICT SPECIAL REVENUE FUNDS,"Accountant, General I ",n/a,,,GENERAL LEDGER ACCOUNTING,,GRANT ACCOUNTING,,PROFESSIONAL-OTHER,1322.59,FINANCIAL ACCOUNTING SERVICES,,BUSINESS
102914,Aides Compensation,Instruction,Shared Services,Non-School,Special Education,TA,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Idea Part B Formula,"CLASSROOM AIDE, SP.ED.,STR.LRN",,Extra Duty Salary,Salaries Or Wages For Support Personnel,Summer School,,Instruction,Instruction And Curriculum,AB AIDE,599.51,Services To Students With Disabilities (Special Education),Idea Part B Formula,EXTENDED DAYS
103471,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Awards and Prizes,,Special Instruction,,,,Awards And Prizes *,,,Disadvantaged Youth *,,,-164.52,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I BLDG ALLOC
103525,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,Transportation - Bus Drivers,Salaries Or Wages For Support Personnel,Undistributed,0.84,Transportation,Transportation Department,BUS DRIVER,16540.538156799998,Undistributed,General Operating Fund,REGULAR PAY
104121,Curriculum Development,ISPD,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Other General Supplies,,Support Services - Instructional Staff,,,,General Supplies *,,,Instruction And Curriculum Development Services *,,,-18929.38,,Special Trust,FND-ACADEM CAP BLDG
104427,Data Processing & Information Services,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES-TECHNOLOGY RELATED,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,INSTRUCTION,,,27249.63,Misc,General Fund,
105048,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Alternative,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,ALTERNATIVE EDUCATION,LOCAL,COUNSELOR,,,,,1.0,,,,132247.73630699998,,,
105852,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Non-Position,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,,Other Instruction,,,,Non-Certificated Salaries And Wages,,,Summer Remediation *,,,-961085.83,,Special Trust,CTAG
106029,Development & Fundraising,Business Services,Leadership & Management,Non-School,Poverty,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,ADM/PROF,Support Services - Administration,FIN SUPPORT ANA FUNDED PROG,,,,BUDGET DIVISION,1.0,State and Federal Projects Coordination Services*,,,64672.7947444,,Title I - Disadvantaged Children/Targeted Assistance,ADMIN
106038,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Elementary ,,,,,1.0,,,3RD GRADE ,60630.88,PRIMARY GRADES PROGRAM ,General Fund,
106162,Human Resources,Business Services,Shared Services,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,PERSONNEL SERVICES,LEVY OVERRIDE,Reading & Writing Asst ,n/a,,,HUMAN RESOURCES,,NON-PROJECT,,PARAPROFESSIONAL,134.28128,STAFF SERVICES,,CENTRAL
106331,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND - FY ,"Teacher, Super Sub D/D ",Regular,,,,0.004310344827590001,TITLE II-PART A-TEACHER QUALIT,,PROFESSIONAL-INSTRUCTIONAL,165.986698367,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
106373,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,ADM/PROF,Support Services - Administration,INT ACADEMIC SUPERINTENDENT,,,Certificated Employees Salaries And Wages,CHIEF ACADEMIC OFFICER,1.0,Office of the Superintendent Services*,,,108962.91125,,General,ACADEMIC LEADERSHIP TEAM
106475,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,Transportation - Bus Drivers,Salaries Or Wages For Support Personnel,Undistributed,,Transportation,Transportation Department,BUS DRIVER,3069.55,Undistributed,General Operating Fund,Transportation Bus Driver EX
106698,Utilities,O&M,Shared Services,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,TELEPHONE/FACSIMILE SERVICES,PREVENTION AND INTERVENTION,GENERAL FUND,(blank),n/a,,,ADMISSIONS AND STUDENT RECORDS,,NON-PROJECT,,UNDESIGNATED,379.59,ATTENDANCE SERVICES,,STUDENTS
107540,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Special Education,Guidance Counselor,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Deaf Education,"COUNSELOR, SPECIAL ED.",,Regular Salary,Salaries And Wages For Teachers And Other Professi,School ,0.11,"""Guidance, Counseling And Evaluation Services""",Instruction And Curriculum,SPECIAL EDUCATION COUNSELOR,7475.02267719,Services To Students With Disabilities (Special Education),State Deaf Education,REGULAR PAY
108156,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,CUSTODIAN REGULAR,,,Extra Duty Pay/Overtime For Support Personnel,School ,,Facilities Maintenance And Operations,Custodial Department,ANY CUS WHO IS NOT A SUPER ,1086.2,Undistributed,General Operating Fund,OVERTIME
108185,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS AND PERIODICALS,POST SECONDARY READINESS,GENERAL FUND,(blank),n/a,,,HS TEAM ,,NON-PROJECT,,UNDESIGNATED,342.66,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
108261,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,INTEREST                      ,,,,,,,DISTRICT-WIDE PROGRAMS        ,,DEBT SERVICE                  ,,,1367500.12,,COP                       , COP                     
108525,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,COMPUTER SOFTWARE,,TITLE I-A ARRA OF  TARGETED ASSISTANCE,,,,,,,INSTRUCTION,,,0.42,ARRA - Title I Grants to LEAs,Title I,
108572,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER, MATH-HIGH            ",,,,STAFF DEV AND INSTR MEDIA     ,,INST STAFF TRAINING SVCS      ,,,80.55,,GENERAL FUND                  ,TEACHER TRAINING              
108821,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Vice Principal,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,ASSISTANT PRINCIPAL I-HIGH    ,,,,CHIEF ACADEMIC OFFICER        ,,INST STAFF TRAINING SVCS      ,USING DATA HUMAN CAPITAL DECIS,,105.44,,ARRA - RACE TO THE TOP        ,RACE TO THE TOP               
108979,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Clinic Assistant,,,,,1.0,,,CLINIC ASSISTANT ,23283.42,NURSES,General Fund,
109075,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,General Assignment ,n/a,,,ES TEAM ,,NON-PROJECT,,UNDESIGNATED,-2.36,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
109523,School Administration,Leadership,School Reported,School,Unspecified,Principal,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,SCHOOL PRINCIPAL,,Undistributed,Salaries And Wages For Teachers And Other Professi,School ,,School Leadership,All Campus Payroll,PRINCIPAL,4173.123603589999,Undistributed,General Operating Fund,EX-CURR PRIN SUPPLEMENT
110085,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub ",n/a,,,HUMAN RESOURCES,,NEW TEACHER RECRUITMENT,,PROFESSIONAL-INSTRUCTIONAL,39.37672,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
110243,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Exec Dir, Comm Engagement ",n/a,,,CONSTRUCTION SERVICES,,EMPLOYEE RETIREMENT,,UNDESIGNATED,1123.71,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
110406,Food Services,O&M,School on Central Budgets,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,FOOD SERVICES,FOOD SERVICE FUND,(blank),n/a,,,FOOD AND NUTRITION SERVICES,,NON-PROJECT,,UNDESIGNATED,21392.54,FOOD SERVICES OPERATIONS,,FOOD SERVICES OPERATIONS
110470,Aides Compensation,Instruction,School Reported,School,PreK,TA,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,,TUITION BASED - ECE,,PARAPROFESSIONAL,3350.11,EARLY CHILDHOOD,,REGULAR INSTRUCTION
110550,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,,MEDIA CENTERS,,,,,,,EDUCATIONAL MEDIA SERVICE,,,876.26,MEDIA CENTERS,General Fund,
110638,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,LEVY OVERRIDE,"Teacher, Librarian H S ",Alternative,,,,,FACILITATOR,,PROFESSIONAL-INSTRUCTIONAL,1523.3514400000001,LITERACY COACHES,,INSTRUCTIONAL STAFF
111637,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA S - TEACHING SPANISH ONLY,,PROFESSIONAL-INSTRUCTIONAL,1010.23,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
111954,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Speech Language Pathologst ,n/a,,,SPECIAL EDUCATION,,NON-PROJECT,,UNDESIGNATED,-1368.14,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
112031,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,Non PreK,PreK-12 Operating,Group Health And Life Insurance,,Operations,,,Basic Educational Services - District Objective ,Group Health And Life Insurance,Undistributed,,Instruction,Campus Overtime,TEACHER MASTER,330.59,Basic Educational Services,General Operating Fund,EMPLOYER MEDICAL FRINGE
112134,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,LEGAL SERVICES,GENERAL FUND,Deputy General Counsel ,n/a,,,SCHOOL ATTORNEY,0.997661771932,NON-PROJECT,,ADMINISTRATOR,120697.06735,LEGAL SERVICES,,GENERAL ADMINISTRATION
112573,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Support Services - Instructional Staff,,,,Purchased Services,,,Instruction And Curriculum Development Services *,,,3353.14,,Special Trust,FOUNDATION
112671,Insurance,Business Services,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,Non PreK,PreK-12 Operating,Insurance And Bonding Costs,,,,,Undistributed,Insurance And Bonding Costs,School ,,School Leadership,,,71.49,Undistributed,General Operating Fund,
112898,Other Non-Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,IN-COUNTY TRAVEL              ,,,,,,,School ,,INST & CURRICULUM DEV SVCS    ,,,439.81,,GENERAL FUND                  ,VIRTUAL INSTRUCTION PGM  
113224,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Facilitator, Elem Math/Sci ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,560.34,INSTRUCT STAFF TRAINING MATH,,INSTRUCTIONAL STAFF
113296,Governance,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Other Personnel,,,BOARD MEMBER DISTRICT ,,Board of Education,,,1.0,,,BOARD MEMBER,23347.29399,District Administration,General Purpose School,
113302,Extended Time & Tutoring,Instruction,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),,,,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,,,,1076.06191174,,,
113484,Extended Time & Tutoring,Instruction,Shared Services,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SPECIAL EDUCATION SUMMER SCHOOL,LOCAL,Aide (Summer School),,,,SCHOOL SUPPORT,0.048,,,,1233.62420717,,,
113669,Governance,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED COMPUTER HARDW,,,,,,,BOARD                         ,,ADMIN TECHNOLOGY SVCS         ,,,21.44,,GENERAL FUND                  ,COMPUTER REPAIR/REPL          
113698,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,Other Non-Compensation,Non PreK,PreK-12 Operating,Other Objects,,Support Services - Instructional Staff,,,,Other Objects,,,Other Improvements Of Instruction Services *,,,17700.4,,Special Trust,COMMUNITIES
113744,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-137507.58,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC SALARIES
113991,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,SECRETARY II                  ,,,,COMPENSATION & EMPLOY RELATION,,STAFF SERVICES                ,,,172.52,,GENERAL FUND                  ,CLASSIFIED CLERICAL BONUS     
114321,Utilities,O&M,Shared Services,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,TELEPHONE/FACSIMILE SERVICES,SAFETY AND SECURITY,GENERAL FUND,(blank),n/a,,,SAFETY AND SECURITY,,SAFETY & SECURITY,,UNDESIGNATED,17175.53,SECURITY SERVICES,,OPERATION AND MAINT OF PLANT
114392,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Special Education Instruction,,,0.0,,,SUBSTITUTE TEACHER,565.5999999999998,Instruction - SPED,General Purpose School,
114401,Food Services,O&M,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker I ,n/a,,,FOOD AND NUTRITION SERVICES,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",0.4600000000000001,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
114594,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Principal, Asst High Sch ",Regular,,,,0.99905204919,NON-PROJECT,,ADMINISTRATOR,92699.31571729999,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
114754,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Garbage Removal and Cleaning Services,,Food Service Operations,,,,Property Services (Other Than Utilities) *,,,"Food Purchasing, Preparation And Dispensing Services *",,,-0.04,,Food Services,ELEM BREAKFAST
115021,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS AND PERIODICALS,EDUCATIONAL RESOURCE SERVICES,LEVY OVERRIDE,(blank),Regular,,,,,SCHOOL LIBRARY MATERIALS,,UNDESIGNATED,4613.230000000001,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
115058,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Nurse ,n/a,,,SCHOOL NURSE SERVICES,,EMPLOYEE RETIREMENT,,UNDESIGNATED,879.26,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
115324,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,STUDENT SERVICES CHARTER SCHOO,GENERAL FUND,Psychologist ,n/a,,,PSYCHOLOGICAL SERVICES,0.19332143606,STUDENT SERVICES/CHARTER SCHLS,,PROFESSIONAL-INSTRUCTIONAL,,PSYCHOLOGICAL SERVICES,,STUDENTS
115445,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,Principal,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,FEDERAL GDPG FUND - FY ,"Principal, Elementary ",n/a,,,LEADERSHIP DEVELOPMENT,,URBAN PRINCIPALS LDRSHP PROG,,ADMINISTRATOR,546.83,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
115824,Curriculum Development,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,1750.32,Misc,General Fund,
115998,Curriculum Development,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL - EMPLOYEES,,SMALLER LEARNING COMMUNITIES,,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,354.65,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,
116069,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,CLERICAL ASST I               ,,,,School ,,SCH ADMIN (OFFICE OF PRINC)   ,,,115.65,,GENERAL FUND                  ,CLASSIFIED CLERICAL BONUS     
116075,School Administration,Leadership,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Mgr, Schl Office Elem ",Regular,,,,,NON-PROJECT,,ADMINISTRATOR,1183.22,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
116118,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,LEVY OVERRIDE,"Teacher, Summer School ",n/a,,,ALL SCHOOLS-UNDISTRIBUTED,,EXTENDED LEARNING,,PROFESSIONAL-INSTRUCTIONAL,1198.55616,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
116413,Aides Compensation,Instruction,School Reported,School,NO_LABEL,TA,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Instructional Paraprofessional,,,,,1.0,,,SCHOOL ASST - KDG ,26932.19,KINDERGARTEN,General Fund,
