,party,infants,water,budget,physician,salvador,religious,satellite,aid,missile,immigration,synfuels,education,superfund,crime,duty_free_exports,eaa_rsa
368,democrat,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
369,republican,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
370,democrat,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1
371,democrat,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1
372,democrat,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
373,democrat,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1
374,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
375,democrat,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
376,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
377,republican,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1
378,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
379,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
380,democrat,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
381,democrat,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
382,democrat,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
383,democrat,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
384,democrat,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
385,democrat,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
386,democrat,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1
387,democrat,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1
388,democrat,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
389,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
390,democrat,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
391,democrat,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
392,republican,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
393,republican,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
394,democrat,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
395,democrat,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
396,democrat,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
397,democrat,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1
398,democrat,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
399,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
400,republican,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1
401,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
402,republican,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1
403,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
404,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
405,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
406,democrat,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
407,democrat,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
408,democrat,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1
409,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
410,republican,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
411,democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
412,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
413,republican,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
414,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
415,democrat,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
416,republican,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
417,democrat,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
418,democrat,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
419,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
420,republican,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
421,democrat,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
422,democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1
423,democrat,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
424,democrat,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
425,democrat,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
426,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
427,republican,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
428,democrat,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
429,democrat,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
430,republican,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
431,democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
432,republican,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
433,republican,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
434,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
